player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles
Alberto Moleiro,MC,villarreal,espanyol,1,82,1,0,1.0,0.0,2,0,2,23,65.2,0,0,0.0,0.0,0.0,13,0,1,0,1,1,1,0,1,4,1,2,17,60.0,38.0,0,0,1,0.0,25_26,12,08/11/2025,0,"[{'goles': [9, 6.0]}, {'goles_90': [8, 0.54]}]"
Sergi Cardona,DF,villarreal,espanyol,0,8,0,0,0.0,0.0,0,0,0,3,33.3,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,2,2.0,0.0,0,0,2,0.0,25_26,12,08/11/2025,0,"[{'centros_area': [8, 9.0]}]"
Thomas Partey,MC,villarreal,espanyol,1,90,0,0,0.1,0.0,1,1,0,47,87.2,0,0,0.0,0.0,0.0,7,3,2,0,1,0,0,0,3,0,0,0,40,198.0,155.0,2,4,0,100.0,25_26,12,08/11/2025,0,[]
Santi Comesaña,MC,villarreal,espanyol,1,73,0,1,0.1,0.0,1,1,0,49,79.6,0,0,0.0,0.0,0.0,9,1,1,0,1,2,0,2,2,1,1,0,31,138.0,82.0,1,1,0,100.0,25_26,12,08/11/2025,0,"[{'rojas': [2, 2.0]}]"
Pape Gueye,MC,villarreal,espanyol,0,17,0,0,0.0,0.0,0,0,0,4,50.0,0,0,0.0,0.0,0.0,3,1,1,0,0,1,1,0,3,1,1,0,3,11.0,6.0,0,0,1,0.0,25_26,12,08/11/2025,0,"[{'rojas': [2, 2.0]}, {'faltas_recibidas': [9, 62.0]}]"
Tajon Buchanan,MC,villarreal,espanyol,1,82,0,0,0.0,0.4,1,1,0,26,84.6,1,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,1,1,0,26,149.0,74.0,2,0,0,0.0,25_26,12,08/11/2025,0,"[{'goles_por_tiro': [1, 0.38]}]"
Ilias Akhomach,MC,villarreal,espanyol,0,8,0,0,0.0,0.0,0,0,0,2,50.0,0,0,0.0,0.0,0.0,1,2,1,0,0,0,0,0,0,2,0,2,5,34.0,25.0,0,0,0,0.0,25_26,12,08/11/2025,0,"[{'regates_exitosos': [9, 57.0]}]"
Alfonso Pedraza,DF,villarreal,espanyol,1,90,0,0,0.0,0.3,0,0,0,42,76.2,0,0,0.0,0.0,0.0,8,6,3,0,0,1,1,0,3,2,2,0,33,193.0,106.0,3,0,1,0.0,25_26,12,08/11/2025,0,"[{'rojas': [10, 1.0]}]"
Renato Veiga,DF,villarreal,espanyol,1,90,0,0,0.0,0.0,0,0,0,70,94.3,0,0,0.0,0.0,0.0,12,1,1,0,0,1,0,1,11,0,0,0,60,256.0,170.0,0,1,1,50.0,25_26,12,08/11/2025,0,"[{'rojas': [2, 1.0]}]"
Rafa Marín,DF,villarreal,espanyol,1,90,0,0,0.0,0.0,0,0,0,84,95.2,0,0,0.0,0.0,0.0,10,0,0,0,0,2,2,0,8,0,0,0,74,223.0,120.0,0,4,1,80.0,25_26,12,08/11/2025,0,"[{'despejes': [10, 129.0]}]"
Pau Navarro,DF,villarreal,espanyol,1,90,0,0,0.0,0.0,0,0,0,77,89.6,1,0,0.0,0.0,0.0,5,1,4,0,3,2,1,1,7,1,1,0,57,175.0,87.0,1,1,1,50.0,25_26,12,08/11/2025,0,[]
Luiz Lúcio Reis Júnior,PT,villarreal,espanyol,1,90,0,0,0.0,0.0,0,0,0,36,75.0,0,0,0.0,100.0,0.6,14,0,0,0,0,0,0,0,2,0,0,0,26,180.0,117.0,0,1,0,100.0,25_26,12,08/11/2025,0,"[{'porterias_cero': [2, 7.0]}, {'save_pct': [1, 82.9]}]"
